"","Time","Time.Code","Country.Name","Country.Code","EG.CFT.ACCS.ZS","EN.ATM.CO2E.KD.GD","SL.AGR.EMPL.ZS","SL.AGR.EMPL.FE.ZS","SL.AGR.EMPL.MA.ZS","SL.SRV.EMPL.ZS","SL.SRV.EMPL.FE.ZS","NY.GDP.MKTP.PP.KD","NY.GDP.MKTP.PP.CD","NY.GNP.PCAP.KD","NY.GNP.MKTP.PC.CD","NY.GNP.PCAP.PP.CD","NY.GNP.MKTP.PP.CD","IT.NET.USER.ZS","NV.IND.MANF.ZS","NV.IND.MANF.CD","SH.ANM.ALLW.ZS","SP.URB.TOTL","Happiness_score"
"21",2015,"YR2015","Bosnia and Herzegovina","BIH",43.9,1.209632015,17.52000046,17.69000053,17.40999985,51.86000061,65.23999786,43315131785,41189243040,4761.937828,4761.937828,12090,41470077805,52.6,11.67037698,1892914063,23.8,1617733,4.949
"206",2015,"YR2015","United Kingdom","GBR",100,0.136515303,1.139999986,0.649999976,1.570000052,80.19999695,91.68000031,2.93e+12,2.79e+12,44321.82852,44321.82852,41890,2.73e+12,92.00029987,9.213357503,2.72e+11,9.9,53802927,6.867
"78",2015,"YR2015","Guinea-Bissau","GNB",1.1,0.267117044,62.81999969,67.62999725,58.40999985,28.45999908,26.54000092,3127082707,2774674411,618.1252424,618.1252424,1640,2842389875,6.1,10.70263964,112188239.8,49.1,731764,NA
"82",2015,"YR2015","High income","HIC",99.72492176,0.260103833,3.475675511,2.484104927,4.254079393,73.46618521,86.33550135,5.68e+13,5.48e+13,40254.17189,40254.17189,45624.054,5.53e+13,79.43867762,13.84779027,6.68e+12,12.97757284,973224046,NA
"187",2015,"YR2015","Sub-Saharan Africa (excluding high income)","SSA",14.48024971,0.470757402,54.61649286,54.89636007,54.32748594,34.63278096,37.46078098,3.88e+12,3.76e+12,1640.599764,1640.599764,3663.81622,3.65e+12,16.1192393,10.02092009,1.69e+11,40.5453238,384106372,NA
"185",2015,"YR2015","St. Vincent and the Grenadines","VCT",95.2,0.291236431,11.07999992,4.869999886,15.39000034,68.87999725,88.54000092,1358937599,1323089731,7040.22521,7040.22521,11840,1292441929,49.4,4.795167693,37716611.14,16.9,55620,NA
"175",2015,"YR2015","Slovenia","SVN",100,0.30563813,7.079999924,7.110000134,7.050000191,60.91999817,74.66999817,69746781415,65265868523,20245.86232,20245.86232,30650,63252908627,73.09865997,19.93938327,8595370845,20.6,1109788,5.848
"125",2015,"YR2015","Mali","MLI",0.9,0.260210708,62.27000046,61.93999863,62.52000046,29.46999931,32.02999878,37314373426,35447022304,734.5124664,734.5124664,1990,34646998122,10.33,6.426121851,842128127.2,58.3,6973939,3.995
"167",2015,"YR2015","Samoa","WSM",31.4,0.304449788,32.33000183,7.579999924,44.99000168,43.04000092,54.84999847,1159792944,1126897672,3989.391955,3989.391955,5700,1103567865,25.40700977,8.296799043,65404273.75,25.1,36600,NA
"205",2015,"YR2015","United Arab Emirates","ARE",100,0.541806773,2.00999999,0.01,2.380000114,63,93.93000031,6.05e+11,6.01e+11,38851.52403,38851.52403,65220,6.04e+11,90.5,8.833306672,31635157939,23.7,7935894,6.901
